Longitude,Latitude,evapproxy,premin,premax,salmin,salmax,minairtemp,maxairtemp,minsst,maxsst,minsoilmoist,maxsoilmoist,stddev_elevdepth,Min_czcs,Max_czcs,runoffnew,Wave_heigh,Tideformproxy,ClusterIds
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
132.5,-10.5,11939.9,2.4,350.0,3423.0,3448.0,287.0,301.5,299953.0,302817.0,0.09,6.39,1872.04,0.2,0.51,167.0,1.0,6.0,2.0
142.5,-10.5,10951.2,8.0,350.0,3384.0,3487.0,290.0,301.2,298990.0,302280.0,1.6,0.0,396.521,0.49,0.8,0.0,2.0,4.5,2.0
130.5,-11.5,11933.3,3.0,450.0,3432.0,3483.0,289.0,301.0,300103.0,303326.0,0.0,1.0,1512.01,0.56,1.25,0.0,1.0,8.0,2.0
131.5,-11.5,12687.0,2.57,378.57,3427.0,3467.0,286.0,302.0,300053.0,303122.0,0.0,7.0,646.047,0.49,1.65,0.0,1.0,8.0,2.0
132.5,-11.5,11585.1,3.0,350.0,3418.0,3459.0,288.0,301.0,299936.0,302890.0,0.0,5.0,754.002,0.66,1.53,300.0,1.0,6.0,2.0
133.5,-11.5,11640.5,2.25,375.0,3392.0,3472.0,287.0,302.0,299746.0,302767.0,0.0,9.0,911.529,0.56,0.75,0.0,1.0,6.0,2.0
134.5,-11.5,11983.0,3.0,435.71,3386.0,3481.0,288.1,302.3,299697.0,302750.0,0.06,0.0,58.8134,0.6,0.82,0.0,1.0,6.0,2.0
135.5,-11.5,12830.5,3.71,435.71,3354.0,3483.0,288.9,302.4,299530.0,302733.0,0.0,0.0,733.104,0.61,0.82,0.0,1.0,6.0,2.0
136.5,-11.5,12696.5,3.0,450.0,3349.0,3480.0,289.0,302.0,299402.0,302775.0,0.0,9.0,731.905,0.64,0.97,0.0,1.0,4.5,2.0
141.5,-11.5,12730.1,6.33,350.0,3369.0,3467.0,289.9,301.4,299473.0,302847.0,2.0,0.0,2851.74,0.32,0.68,0.0,2.0,4.5,2.0
142.5,-11.5,11259.8,8.0,350.0,3378.0,3482.0,290.0,301.0,299099.0,302422.0,1.0,14.0,661.522,0.41,1.11,0.0,2.0,4.5,2.0
143.5,-11.5,11633.6,8.0,350.0,3400.0,3505.0,289.9,301.4,298653.0,301970.0,2.0,0.0,2646.32,0.31,0.5,0.0,2.0,4.5,2.0
130.5,-12.5,13357.9,2.77,411.54,3430.0,3485.0,285.7,302.0,300153.0,303427.0,0.06,0.0,677.418,0.85,1.54,0.0,1.0,8.0,2.0
131.5,-12.5,13281.3,3.0,350.0,3432.0,3483.0,285.0,302.0,300103.0,303326.0,0.0,10.0,1853.16,1.48,2.5,300.0,1.0,8.0,2.0
132.5,-12.5,12742.1,0.0,350.0,3415.0,3471.0,285.0,302.0,299951.0,303016.0,1.0,12.0,2345.57,-9999.0,2.43,300.0,1.0,6.0,2.0
134.5,-12.5,12336.9,3.0,450.0,3366.0,3480.0,288.0,303.0,299518.0,302771.0,0.0,13.0,1358.36,1.27,1.95,300.0,1.0,6.0,2.0
135.5,-12.5,12436.4,3.0,450.0,3341.0,3478.0,290.0,302.0,299227.0,302826.0,0.0,6.0,800.45,1.04,1.68,150.0,1.0,6.0,2.0
136.5,-12.5,13096.3,4.43,421.43,3317.0,3473.0,288.0,303.0,298886.0,302907.0,0.0,8.0,28.967,0.5,0.91,0.0,2.0,4.5,2.0
